Location,Rep,block,Geno,area_mm2,perimeter_mm,majellipse_mm,minellipse_mm,color 1,COLOR 2,COLOR 3,PMG,Moisture FLOUR,Water Abs,Protein  FLOUR,PEAK TIME MINUTES,PEAK VALUE %,PEAK WIDTH %,"PEAK INTEGRAL %TQ*MIN,",SCORE mixo,SDS sedimentation,Hardness Nir,Protein grain NIR,Moisture grain NIR,rendement de la farine,Fe mg/Kg,Zn mg/Kg,Se mg/Kg,Extraction 1,Extraction 2,Extraction 3, Quantité de farine (gramme)(calculer),Glu- A1, Glu-B1,Glu-D1,Payne et all,Branlard & Dardevet
OM,2,4,17,14.2,19.5,6.5,2.8,162.5,114.1,83.7,28.4,11.491,62.37,12.659,5.06,60.524,23.851,193.093,4,9,58.999,12.626,13.355,75.22231583,19.06755025,32.25021512,0.21523337,285.84,62.17,13.61,361.62,2*,17+18,2+12,8,55
OM,2,4,9,17.4,21.5,7.1,3.1,167.0,116.1,86.8,41.9,11.691,61.024,14.322,4.09,66.082,27.338,174.552,3,8,56.51,12.573,13.406,75.20602209,27.96504362,31.59612638,0.1426159,257.48,75.75,21.04,354.27,2*,7oe+8,2+12,10,
OM,2,4,15,19.1,22.3,7.4,3.3,169.3,118.8,89.3,46.6,11.23,64.538,15.156,4.29,56.817,28.719,174.49,4,7.5,53.897,11.326,13.099,75.45313048,28.54961109,25.45151308,0.1403283,,,,344.187,2*,17+18,2+12,8,55
OM,2,4,7,17.0,20.7,6.8,3.2,172.3,118.7,87.6,40.9,11.201,66.795,15.99,5.08,44.907,23.053,180.673,6,9,54.29,12.5,11.084,75.18675171,35.98079807,27.07354155,0.2398592,278.1,60.27,14.31,352.68,1,17+18,2+12,8,40
OM,2,4,10,17.5,21.0,7.0,3.2,170.8,120.0,90.8,42.6,11.408,64.689,15.243,5.16,51.627,19.092,194.891,5,8,56.807,11.778,13.414,74.54048642,26.99666626,36.8973505,0.254551419,,,,357.362,2*,17+18,2+12,8,55
OM,2,4,4,17.3,20.7,6.8,3.2,171.4,120.3,90.4,43.1,11.765,63.652,15.03,4.79,51.004,23.73,178.896,5,7.5,55.473,12.057,12.742,78.26978122,29.67294531,32.0508905,0.214399368,280.33,68.41,20.14,368.88,1,7,2+12,6,30
OM,2,4,22,15.7,20.0,6.7,3.0,170.6,121.5,92.4,34.2,11.777,62.491,14.421,3.5,52.742,25.53,133.055,3,7.5,57.229,11.474,13.26,75.92496368,21.32466903,35.33411933,0.181387926,,,,357.99,0,7,2+12,4,15
KEF,1,1,1,16.3,20.7,7.0,3.0,178.6,137.0,111.0,33.9,10.884,63.386,13.279,3.14,58.923,24.824,119.144,3,12,47.844,11.241,10.06,78.90207846,35.98111672,23.08127752,0.211741332,284.42,55.93,17.25,357.60,0,7,2+10,,
KEF,1,1,2,14.3,19.6,6.5,2.8,171.1,131.4,105.8,29.1,11.27,61.861,13.215,5.01,65.32,28.283,183.078,4,10.5,55.237,11.93,10.32,70.04926318,14.52225703,28.22683124,0.203195934,,,,329.89,0,7,2+10,,
KEF,1,1,3,13.8,19.1,6.4,2.7,172.9,131.5,105.0,27.0,11.143,62.548,13.234,4.03,61.173,26.275,156.074,3,10.5,45.68,12.08,10.314,68.64368893,18.94831818,39.03654214,0.285876917,,,,322.44,2*,7,5+10,8,
KEF,1,1,4,14.2,19.3,6.5,2.8,172.9,132.8,106.9,28.9,11.589,60.384,12.257,3.81,62.275,27.732,148.502,3,10,51.216,11.611,10.293,75.3483046,22.3080612,25.81445239,0.227181195,,,,355.32,1,7,2+12,6,30
KEF,1,1,5,13.8,19.2,6.5,2.7,189.5,142.6,114.7,25.9,11.082,64.821,13.772,2.51,62.81,26.008,105.032,2,9.5,56.744,13.069,10.454,64.73410834,22.39220182,25.3828808,0.150916446,,,,261.72,2*,7+9,2+12,7,57
KEF,1,1,6,15.2,19.8,6.5,3.0,180.2,138.0,111.0,32.9,11.32,61.254,12.185,3.83,62.245,26.38,148.822,3,11.5,54.92,12.19,9.855,76.46880678,35.16739258,32.57246708,0.17462223,,,,303,1,7,2+12,6,30
KEF,1,1,7,13.6,18.9,6.4,2.7,177.8,134.7,106.9,26.0,11.151,63.718,13.021,3.92,63.066,29.561,154.805,3,10,49.484,11.674,10.35,74.87980493,40.22208986,28.17892952,0.240070848,,,,325.51,1,17+18,2+12,8,40
KEF,1,1,8,14.8,19.5,6.5,2.9,195.8,151.0,121.3,32.6,10.825,64.792,12.573,2.67,64.38,24.572,105.479,2,10,53.14,11.589,10.015,75.21562598,21.63778066,32.84416251,0.133725176,,,,313.07,1,7,2+12,6,30
KEF,1,1,9,15.0,19.7,6.5,2.9,176.6,134.9,108.2,32.2,11.498,60.316,12.341,3.2,64.149,27.328,127.217,3,8.5,46.728,12.3,10.002,78.03437754,35.47396166,24.98536541,0.173544943,,,,355.47,2*,7oe+8,2+12,10,
KEF,1,1,10,15.0,19.9,6.7,2.8,191.5,148.0,118.5,31.1,11.335,63.339,13.212,3.85,65.928,31.762,159.563,3,8,51.411,11.493,10.339,76.56384173,39.57144049,32.61965318,0.276921998,,,,347.73,2*,17+18,2+12,8,55
KEF,1,1,11,14.2,19.2,6.4,2.8,180.9,138.2,110.2,28.3,11.526,62.81,14.192,2.32,63.941,27.352,97.821,2,8.5,54.007,11.477,10.413,66.12131253,20.85886094,35.01277212,0.17767726,260.07,54.28,13.50,327.85,1,7,2+12,6,30
KEF,1,1,12,15.9,20.3,6.8,3.0,194.6,150.5,120.5,34.8,11.171,63.919,13.774,4.69,61.33,25.333,174.885,4,6.5,49.32,11.011,10.403,77.96299819,38.22861448,27.64128635,0.329815751,,,,341.14,2*,17+18,2+12,8,55
KEF,1,2,13,14.8,19.3,6.5,2.9,195.3,150.1,116.2,33.0,11.842,62.488,13.917,4.56,53.646,23.986,164.644,4,10,51.094,11.086,10.867,75.25036397,33.45342905,41.75119959,0.320835493,,,,362.65,2*,7+8,2+12,,52
KEF,1,2,14,15.8,20.1,6.7,3.0,172.6,131.1,105.1,35.4,11.301,61.979,12.801,2.64,71.222,31.562,120.547,2,10,52.061,11.862,10.218,77.16449986,23.76699455,32.03029157,0.236239454,,,,338.5,1,7,2+12,6,30
KEF,1,2,15,16.0,20.4,6.9,2.9,174.7,134.3,108.8,34.5,11.057,64.325,13.766,3.31,65.582,29.101,140.649,3,8.5,50.42,11.104,10.421,75.85944153,37.37815105,24.32427281,0.286003385,,,,336.19,2*,17+18,2+12,8,55
KEF,1,2,16,15.1,19.7,6.5,3.0,181.7,138.8,110.7,31.5,11.073,63.482,14.169,2.99,66.949,31.064,126.64,3,8,51.473,11.336,10.012,72.804643,24.6374056,30.26805083,0.167960964,,,,317.76,2*,7,2+12,6,45
KEF,1,2,17,13.7,18.9,6.3,2.8,172.5,131.0,104.2,27.8,11.529,60.798,12.085,3.76,67.166,29.419,155.179,3,8.5,53.771,12.506,10.271,75.54453652,37.34974199,30.8511196,0.191860542,,,,327.75,2*,17+18,2+12,8,55
